feature,gain,fold,mean_gain
2__mean_second_derivative_central,269,2,200.42857142857142
flux_norm_fft_4_by_0,135,2,135.57142857142858
flux_diff_4_by_2,232,2,185.28571428571428
abs_energy_5_by_4,231,2,152.0
"0__fft_coefficient__coeff_1__attr_""abs""_diff",232,2,225.71428571428572
flux_diff_1_by_0,267,2,207.85714285714286
abs_energy_3_by_2,218,2,164.42857142857142
flux_diff_5_by_1,123,2,138.14285714285714
flux_norm_fft_3_by_0,214,2,161.0
3__skewness_diff,250,2,169.28571428571428
0__maximum,235,2,214.57142857142858
abs_energy_5_by_1,110,2,117.0
flux_ratio_sq_skew,174,2,162.28571428571428
object_id_div_27,176,2,159.71428571428572
4__time_reversal_asymmetry_statistic__lag_4,200,2,199.42857142857142
5__autocorrelation__lag_3,208,2,149.0
flux__mean_abs_change,265,2,237.42857142857142
1__maximum_diff,414,2,357.7142857142857
flux__count_above_mean,215,2,160.14285714285714
"4__fft_coefficient__coeff_0__attr_""abs""_norm",264,2,203.14285714285714
flux_diff__last_location_of_minimum,191,2,148.28571428571428
3__autocorrelation__lag_3,250,2,172.71428571428572
flux_diff_5_by_4,176,2,144.0
object_id_div_22,171,2,142.28571428571428
flux_norm_fft_3_by_1,181,2,171.85714285714286
flux__longest_strike_below_mean,196,2,155.14285714285714
flux_norm_fft_4_by_3,241,2,163.85714285714286
flux_diff_4_by_1,157,2,134.57142857142858
5__flux_by_flux_ratio_sq_skew,239,2,176.28571428571428
0__skewness_diff,212,2,145.28571428571428
flux_diff__last_location_of_maximum,166,2,154.71428571428572
abs_energy_4_by_1,174,2,146.85714285714286
abs_energy_3_by_0,214,2,168.28571428571428
"5__fft_coefficient__coeff_1__attr_""abs""",240,2,231.85714285714286
"3__fft_coefficient__coeff_0__attr_""abs""_diff",252,2,218.0
"5__fft_coefficient__coeff_0__attr_""abs""_diff",329,2,198.71428571428572
flux_norm_fft_2_by_1,227,2,172.0
"5__fft_coefficient__coeff_1__attr_""abs""_diff",298,2,234.28571428571428
2__maximum,260,2,225.71428571428572
0__median,267,2,175.85714285714286
1__binned_entropy__max_bins_10_diff,206,2,170.85714285714286
2__median_diff,172,2,135.42857142857142
2__sample_entropy_norm,177,2,154.14285714285714
flux_diff__first_location_of_maximum,177,2,136.28571428571428
flux_norm_fft_5_by_1,227,2,160.0
0__mean_second_derivative_central,230,2,160.0
flux_diff__first_location_of_minimum,172,2,118.71428571428571
3__binned_entropy__max_bins_10,108,2,118.14285714285714
0__skewness,207,2,165.14285714285714
5__skewness,199,2,148.85714285714286
0__flux_dif3,190,2,144.28571428571428
hostgal_photoz,1719,3,1928.5714285714287
mjd_diff_det,1461,3,1460.857142857143
distmod,1213,3,1304.142857142857
hostgal_photoz_certain,1199,3,1289.0
hostgal_photoz_err,1052,3,829.0
mjd__mean_abs_change,634,3,709.1428571428571
flux__longest_strike_above_mean,608,3,667.5714285714286
flux__sample_entropy,518,3,501.2857142857143
flux_by_flux_ratio_sq__longest_strike_above_mean,481,3,483.85714285714283
flux_by_flux_ratio_sq__median,360,3,405.57142857142856
flux_by_flux_ratio_sq__minimum,375,3,420.42857142857144
flux_by_flux_ratio_sq_skew,343,3,396.14285714285717
flux__cid_ce__normalize_True,419,3,428.7142857142857
mjd__mean_change,332,3,382.85714285714283
flux_by_flux_ratio_sq__longest_strike_below_mean,294,3,370.0
flux_diff2,312,3,333.7142857142857
flux_by_flux_ratio_sq__sample_entropy,371,3,350.42857142857144
bottom__flux_dif3,218,3,272.7142857142857
flux_err_min,317,3,397.85714285714283
0__abs_energy_norm,405,3,368.14285714285717
5__abs_energy_norm,255,3,299.42857142857144
2__skewness,234,3,260.0
2__median,237,3,283.7142857142857
bottom__flux_diff,334,3,292.85714285714283
"0__fft_coefficient__coeff_0__attr_""abs""_norm",288,3,310.2857142857143
flux_diff_2_by_1,193,3,302.2857142857143
1__skewness,223,3,274.57142857142856
flux_skew,275,3,304.57142857142856
flux__binned_entropy__max_bins_10,249,3,283.42857142857144
flux_by_flux_ratio_sq__count_above_mean,231,3,247.28571428571428
top__flux_dif3,248,3,289.0
4__cid_ce__normalize_True,249,3,293.57142857142856
flux__autocorrelation__lag_3,241,3,292.42857142857144
flux_diff__sample_entropy,263,3,293.7142857142857
abs_energy_5_by_0,241,3,247.28571428571428
abs_energy_4_by_0,303,3,312.7142857142857
flux_by_flux_ratio_sq__cid_ce__normalize_True,274,3,295.85714285714283
2__cid_ce__normalize_True,265,3,307.85714285714283
1__abs_energy_norm,297,3,280.2857142857143
0__cid_ce__normalize_True,253,3,266.42857142857144
1__cid_ce__normalize_True,343,3,305.0
2__minimum,222,3,281.42857142857144
flux_diff__longest_strike_above_mean,234,3,269.0
0__flux_by_flux_ratio_sq_sum,236,3,286.14285714285717
flux__ratio_beyond_r_sigma__r_2,179,3,233.28571428571428
flux_by_flux_ratio_sq__binned_entropy__max_bins_10,263,3,236.14285714285714
abs_energy_3_by_1,239,3,283.85714285714283
detected_mean,305,3,280.42857142857144
4__kurtosis,248,3,236.28571428571428
flux_diff_5_by_3,210,3,196.28571428571428
1__minimum,261,3,267.0
flux_norm_fft_5_by_0,170,3,222.57142857142858
1__flux_by_flux_ratio_sq_skew,236,3,263.85714285714283
abs_energy_2_by_1,201,3,243.0
5__median,215,3,235.0
flux__time_reversal_asymmetry_statistic__lag_4,257,3,279.2857142857143
1__median,217,3,266.42857142857144
5__kurtosis,168,3,200.57142857142858
1__kurtosis,204,3,193.85714285714286
"5__fft_coefficient__coeff_1__attr_""abs""_norm",141,3,199.85714285714286
3__skewness,209,3,213.14285714285714
2__skewness_diff,161,3,227.28571428571428
flux_diff_3_by_1,193,3,184.85714285714286
flux_diff_3_by_2,93,3,181.28571428571428
3__cid_ce__normalize_True,187,3,240.28571428571428
flux_diff__binned_entropy__max_bins_10,198,3,217.28571428571428
flux_median,252,3,253.85714285714286
abs_energy_5_by_2,169,3,195.42857142857142
flux_norm_fft_5_by_2,236,3,235.28571428571428
5__abs_energy,280,3,323.57142857142856
flux_diff_5_by_2,189,3,207.0
flux_by_flux_ratio_sq__first_location_of_minimum,156,3,231.28571428571428
3__kurtosis,164,3,224.14285714285714
flux_by_flux_ratio_sq__autocorrelation__lag_3,210,3,219.14285714285714
"2__fft_coefficient__coeff_0__attr_""abs""_diff",148,3,219.85714285714286
5__cid_ce__normalize_True,229,3,252.85714285714286
2__kurtosis,144,3,200.57142857142858
