feature,gain,fold,mean_gain
abs_energy_3_by_0,145,7,168.28571428571428
"5__fft_coefficient__coeff_1__attr_""abs""",208,7,231.85714285714286
"3__fft_coefficient__coeff_0__attr_""abs""_diff",249,7,218.0
"5__fft_coefficient__coeff_0__attr_""abs""_diff",185,7,198.71428571428572
flux_norm_fft_2_by_1,175,7,172.0
"5__fft_coefficient__coeff_1__attr_""abs""_diff",226,7,234.28571428571428
2__maximum,189,7,225.71428571428572
0__median,152,7,175.85714285714286
1__binned_entropy__max_bins_10_diff,129,7,170.85714285714286
2__median_diff,131,7,135.42857142857142
2__sample_entropy_norm,180,7,154.14285714285714
flux_diff__first_location_of_maximum,146,7,136.28571428571428
flux_norm_fft_5_by_1,165,7,160.0
0__mean_second_derivative_central,148,7,160.0
flux_diff__first_location_of_minimum,130,7,118.71428571428571
3__binned_entropy__max_bins_10,144,7,118.14285714285714
0__skewness,180,7,165.14285714285714
5__skewness,140,7,148.85714285714286
0__flux_dif3,146,7,144.28571428571428
